,開始時間,開始時間(第0群),開始時間(第1群),開始時間(第2群),開始時間(第3群),10K感應點,10K感應點(第0群),10K感應點(第1群),20K感應點,20K感應點(第0群),20K感應點(第1群),30K感應點,30K感應點(第0群),30K感應點(第1群),36K感應點,36K感應點(第0群),36K感應點(第1群),40K感應點,40K感應點(第0群),40K感應點(第1群),晶片成績,晶片成績(第0群),晶片成績(第1群)
count,2813,1678,1101,27,7,2813,1464,1349,2813,1494,1319,2813,1607,1206,2813,1642,1171,2813,1641,1172,2813,1641,1172
mean,133595.4852,59952.40763,222147.0209,732164.8148,1550234.286,3945856.189,3487505.389,4443280.63,7902680.693,6956275.609,8974651.274,12444021.08,10917043.59,14478724.93,15200558.08,13333744.17,17818242.49,16892168.98,14783768.03,19844290.09,17930298.3,15693496.28,21062202.84
std,131366.3043,41133.72713,57012.97121,153232.8643,89531.28724,574660.0669,328678.0513,309616.0555,1194023.818,656763.1007,622797.0591,2020234.033,1062971.233,874853.8042,2494661.194,1328135.301,856855.1534,2799240.566,1467907.364,920169.7372,2967588.926,1555465.616,964726.3499
min,0,0,141300,492140,1357620,2308140,2308140,3824270,4534580,4534580,7680660,6878070,6878070,12302880,8243580,8243580,15386880,9090820,9090820,17505870,9722830,9722830,18840220
25%,46290,21640,177830,640590,1543120,3526180,3274190,4184380,6991990,6528900,8499145,10902120,10185180,13838750,13326390,12390467.5,17118890,14744590,13756820,19074475,15647160,14574060,20284965
50%,110250,56630,214330,700280,1594550,3929690,3542465,4428890,7802010,7047575,8971310,12089130,11120350,14420130,14721710,13586050,17748010,16344250,15063580,19799395,17348200,15993880,21067855
75%,198330,93067.5,259380,781370,1601965,4403560,3752747.5,4657060,8921580,7475567.5,9425860,14199010,11771070,15034147.5,17473910,14435972.5,18410785,19518320,16009690,20541985,20745380,16978100,21800307.5
max,1609300,140550,470580,1101110,1609300,5489470,4009360,5489470,10867900,8446860,10867900,17429280,13215870,17429280,20293040,15481190,20293040,22239080,16934930,22239080,23623380,18217570,23623380
,,,,,,,,,,,,,,,,,,,,,,,
25%,,,,,,,10.99508581,8.603425119,,11.02789138,8.471440363,,10.60364176,7.804173065,,10.45965376,7.570584308,,,,,,
50%,,,,,,,10.16241515,8.128447534,,10.21628007,8.025583778,,9.711924535,7.489530261,,9.539196455,7.302227123,,,,,,
75%,,,,,,,9.59297155,7.730198881,,9.631375812,7.638560301,,9.175036764,7.183646429,,8.977573212,7.039352206,,,,,,
max,,,,,,,8.978989165,6.558010154,,8.523877512,6.625014952,,8.171993217,6.196469389,,8.371449482,6.386426085,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
25%,,,,,,,366,337.25,,373.5,329.75,,401.75,301.5,,410.5,292.75,,,,,,
50%,,,,,,,732,674.5,,747,659.5,,803.5,603,,821,585.5,,,,,,
75%,,,,,,,1098,1011.75,,1120.5,989.25,,1205.25,904.5,,1231.5,878.25,,,,,,
100%,,,,,,,1464,1349,,1494,1319,,1607,1206,,1642,1171,,,,,,
